condition,I_mM,MM_vmax_mM_per_s,MM_vmax_mM_per_min,MM_vmax_CI95_lo,MM_vmax_CI95_hi,MM_vmax_CI95_lo_mM_per_min,MM_vmax_CI95_hi_mM_per_min,MM_Km_mM,MM_Km_CI95_lo,MM_Km_CI95_hi,MM_kcat_per_s,MM_kcat_CI95_lo_per_s,MM_kcat_CI95_hi_per_s,MM_weighted_SSE,MM_raw_SSE,MM_R2,LB_vmax_app_mM_per_s,LB_vmax_app_mM_per_min,LB_Km_app_mM,LB_slope,LB_intercept,LB_slope_SE,LB_intercept_SE,LB_R2,data_source
0 mM inhibitor,0.0,0.0003006947112888159,0.018041682677328953,0.00029590535663793116,0.0003054375278869233,0.01775432139827587,0.0183262516732154,0.5867674313014557,0.5559025451378696,0.615921138356041,18.041682677328954,17.75432139827587,18.326251673215395,92.15617660144743,2.3657494945194014e-09,0.9743669870898749,0.017856408545490192,1.0713845127294115,0.597184707969278,33.44371890057941,56.00230289604119,0.9751506756032746,2.6754790815496152,0.9940839013965704,recomputed_from_raw_plate_csv
1 mM inhibitor,1.0,0.00025082209129133576,0.015049325477480145,0.0002438867005388812,0.0002580359485575087,0.014633202032332872,0.01548215691345052,0.8656199709468534,0.8199875236127181,0.9169871155108026,15.049325477480144,14.633202032332871,15.48215691345052,22.2316892661552,1.0444333323861839e-09,0.9823557246427775,0.015457147883287782,0.927428872997267,0.9168462940976716,59.315360182906886,64.69498820550179,0.700399122408181,1.9216550299567918,0.9990249402866618,recomputed_from_raw_plate_csv
5 mM inhibitor,5.0,0.00023646726201179466,0.01418803572070768,0.00022681830759261137,0.00024604491828057523,0.013609098455556683,0.014762695096834514,2.0808286487274033,1.933451409619269,2.3022798635651363,14.18803572070768,13.609098455556682,14.762695096834515,6.61784719850457,6.296652333783522e-10,0.9864559599568291,0.01550957321779434,0.9305743930676604,2.326353413697777,149.99467625767554,64.47630672729838,0.8892529014146144,2.4398050429183473,0.9997540254961262,recomputed_from_raw_plate_csv
10 mM inhibitor,10.0,0.00017809427536975768,0.010685656522185462,0.0001727026793702961,0.00018421525832249845,0.010362160762217767,0.011052915499349907,2.5613088656616676,2.4466168343686197,2.68912074743623,10.685656522185461,10.362160762217767,11.052915499349908,87.87423447292025,6.551588806706299e-10,0.9723638865665462,0.012378490944749231,0.7427094566849538,3.3603195132527746,271.4643916008333,80.78529155641422,2.9993913753697465,8.22930146381487,0.9991461774773278,recomputed_from_raw_plate_csv
