model,parameter,estimate,CI95_lo,CI95_hi
competitive,vmax_mM_per_s,0.0002538482449728484,0.00025004692807287243,0.0002567320345007508
competitive,vmax_mM_per_min,0.015230894698370905,0.015002815684372346,0.015403922070045048
competitive,Km_mM,0.37222931590180725,0.35946695830018977,0.3964236298886611
competitive,Ki_mM,0.9975155450961637,0.9710449713309898,1.0567273793843202
competitive,kcat_per_s,15.230894698370903,15.002815684372347,15.403922070045047
uncompetitive,vmax_mM_per_s,0.0004304377238535031,0.00042344650830965864,0.00043743967156260595
uncompetitive,vmax_mM_per_min,0.025826263431210188,0.02540679049857952,0.026246380293756356
uncompetitive,Km_mM,2.8217838994834414,2.630473270932617,3.003324534752438
uncompetitive,Ki_prime_mM,2.491198956920973,2.4447752025133274,2.5682621740037384
uncompetitive,kcat_per_s,25.826263431210187,25.406790498579518,26.246380293756356
mixed,vmax_mM_per_s,0.00029283085945936,0.0002870185944773014,0.00029618050168884867
mixed,vmax_mM_per_min,0.0175698515675616,0.017221115668638085,0.01777083010133092
mixed,Km_mM,0.5177116555588712,0.4877398387954855,0.5448460931737448
mixed,Ki_mM,1.4234854720972807,1.3459536976483202,1.509346818838492
mixed,Ki_prime_mM,16.161608732380184,15.054907534621805,18.105162595816427
mixed,kcat_per_s,17.5698515675616,17.221115668638088,17.77083010133092
