condition,I_mM,slope,intercept,slope_se,intercept_se
0 mM inhibitor,0.0,33.44371890057941,56.00230289604119,0.9751506756032746,2.6754790815496152
1 mM inhibitor,1.0,59.315360182906886,64.69498820550179,0.700399122408181,1.9216550299567918
5 mM inhibitor,5.0,149.99467625767554,64.47630672729838,0.8892529014146144,2.4398050429183473
10 mM inhibitor,10.0,271.4643916008333,80.78529155641422,2.9993913753697465,8.22930146381487
