condition,I_mM,Km0_mM,Km_app_mM,Ki_competitive_mM,note
0 mM inhibitor,0.0,0.5867674313014557,0.5867674313014557,nan,reference (no inhibitor)
1 mM inhibitor,1.0,0.5867674313014557,0.8656199709468534,2.104221220461601,
5 mM inhibitor,5.0,0.5867674313014557,2.0808286487274033,1.9636659611323408,
10 mM inhibitor,10.0,0.5867674313014557,2.5613088656616676,2.9716643119802613,
