model,weighted_SSE,raw_SSE,R2,AIC,BIC,k_parameters,vmax_mM_per_s,vmax_mM_per_min,kcat_per_s,kcat_CI95_lo_per_s,kcat_CI95_hi_per_s,delta_AIC,best_by_AIC
mixed,301.70859844421733,7.750402647827377e-09,0.9742347544710769,-886.5760197794525,-879.8205019629968,4,0.00029354866089880343,0.017612919653928204,17.612919653928206,17.268212370740823,17.814550245022723,0.0,True
competitive,955.8795020122294,1.517162270558148e-08,0.9495638353458875,-861.7087414141299,-856.6421030517881,3,0.0002551386309064415,0.015308317854386489,15.308317854386488,15.079850934965568,15.483626813526733,24.86727836532259,False
uncompetitive,4499.38484569401,6.344369267858634e-08,0.7890893682041735,-804.479700320397,-799.4130619580552,3,0.0004152844349323168,0.02491706609593901,24.917066095939006,24.483152171881677,25.332556960170468,82.09631945905551,False
