stock_S_label,final_S_mM,0mM_v_mean_mM_per_s,0mM_v_sd_mM_per_s,0mM_v_mean_mM_per_min,0mM_v_sd_mM_per_min,1mM_v_mean_mM_per_s,1mM_v_sd_mM_per_s,1mM_v_mean_mM_per_min,1mM_v_sd_mM_per_min,5mM_v_mean_mM_per_s,5mM_v_sd_mM_per_s,5mM_v_mean_mM_per_min,5mM_v_sd_mM_per_min,10mM_v_mean_mM_per_s,10mM_v_sd_mM_per_s,10mM_v_mean_mM_per_min,10mM_v_sd_mM_per_min
20.0,10.0,0.0002537813939973574,4.871195291432609e-06,0.015226883639841442,0.0002922717174859566,0.00021174611302393514,6.22301740076395e-06,0.012704766781436108,0.000373381044045837,0.00019182816139531197,3.7753903122290795e-06,0.011509689683718719,0.00022652341873374477,0.0001306482463726597,2.910660184842979e-06,0.00783889478235958,0.00017463961109057873
15.0,7.5,0.000270198204246322,4.705518805392523e-06,0.016211892254779318,0.00028233112832355136,0.00021318110464382922,1.08704011014553e-05,0.012790866278629753,0.000652224066087318,0.0001868123893380162,6.095434728812092e-06,0.011208743360280972,0.00036572608372872553,0.00012725949282215254,2.381890591042552e-06,0.0076355695693291524,0.0001429134354625531
10.0,5.0,0.0002800310228616855,7.1314470551431165e-06,0.01680186137170113,0.000427886823308587,0.00021489297224017598,5.486761142472177e-06,0.01289357833441056,0.00032920566854833063,0.00017506674475630015,6.9424876737785305e-06,0.010504004685378009,0.0004165492604267118,0.0001280462076262127,2.576174599458317e-06,0.007682772457572762,0.00015457047596749904
7.5,3.75,0.0002776798099326163,3.6282267609296084e-06,0.016660788595956978,0.0002176936056557765,0.00021692562893827275,1.1239416061584376e-05,0.013015537736296365,0.0006743649636950625,0.0001686226796914439,1.1599992634900219e-05,0.010117360781486633,0.0006959995580940132,0.00011970494669044872,3.1511418683244852e-06,0.007182296801426923,0.0001890685120994691
5.0,2.5,0.00026488025034375815,5.788234328687482e-06,0.01589281502062549,0.00034729405972124894,0.00020178602077423465,1.1980532055227147e-05,0.01210716124645408,0.0007188319233136289,0.00014126331405052761,1.539202943631802e-05,0.008475798843031656,0.0009235217661790811,0.00010077838968718801,8.341513633322593e-06,0.0060467033812312805,0.0005004908179993556
4.0,2.0,0.00024018842099210553,2.2878909079480547e-05,0.014411305259526332,0.001372734544768833,0.00018523672685911798,5.431768304689303e-06,0.011114203611547078,0.0003259060982813582,0.0001267355124796186,1.1455058204739922e-05,0.0076041307487771164,0.0006873034922843953,8.182578252485249e-05,2.9304427813347495e-06,0.00490954695149115,0.00017582656688008497
2.5,1.25,0.00020662241887904362,1.5448688373137407e-05,0.012397345132742618,0.0009269213023882445,0.00015285265767779458,2.644836457437437e-06,0.009171159460667676,0.00015869018744624623,8.644708074472923e-05,6.166500406302919e-06,0.005186824844683754,0.0003699900243781751,5.842455248279344e-05,7.635416902436579e-08,0.0035054731489676063,4.581250141461947e-06
1.25,0.625,0.0001344925055618468,6.90732611274437e-06,0.008069550333710809,0.0004144395667646622,0.0001031727714512955,3.377820856807225e-06,0.00619036628707773,0.00020266925140843348,5.4987420065433034e-05,3.062770604986251e-06,0.003299245203925982,0.00018376623629917505,3.0065605023662573e-05,9.940238143867696e-07,0.0018039363014197543,5.964142886320617e-05
0.25,0.125,5.183162936608091e-05,1.339595931386454e-06,0.0031098977619648544,8.037575588318723e-05,3.088655717964969e-05,6.711934286904231e-07,0.0018531934307789814,4.027160572142539e-05,1.3178403330832269e-05,4.521825197455771e-07,0.0007907041998499361,2.7130951184734624e-05,7.413875272699663e-06,4.1916957826585105e-07,0.0004448325163619798,2.5150174695951063e-05
0.0,0.0,9.75020239658325e-08,9.825477170494038e-08,5.85012143794995e-06,5.895286302296423e-06,6.177609152033658e-08,1.0699932920624787e-07,3.706565491220195e-06,6.419959752374872e-06,-4.91975861384849e-07,1.240809994611844e-06,-2.951855168309094e-05,7.444859967671064e-05,9.378057266942665e-08,1.931013707330525e-07,5.6268343601655985e-06,1.1586082243983151e-05
