model,weighted_SSE,raw_SSE,R2,AIC,BIC,k_parameters,vmax_mM_per_s,vmax_mM_per_min,kcat_per_s,kcat_CI95_lo_per_s,kcat_CI95_hi_per_s,delta_AIC,best_by_AIC
mixed,306.17680619015334,7.685137634828896e-09,0.974451719854782,-886.9142801875337,-880.158762371078,4,0.00029283085945936,0.0175698515675616,17.5698515675616,17.221115668638088,17.77083010133092,0.0,True
competitive,956.1392884722238,1.5198888602883224e-08,0.949473193275989,-861.63691936451,-856.5702810021683,3,0.0002538482449728484,0.015230894698370905,15.230894698370903,15.002815684372347,15.403922070045047,25.277360823023628,False
uncompetitive,4774.0793292081635,6.57835482925104e-08,0.7813108104782879,-803.0310203976186,-797.9643820352768,3,0.0004304377238535031,0.025826263431210188,25.826263431210187,25.406790498579518,26.246380293756356,83.88325978991509,False
