45,36.9,0.228,0.185,0.14,0.116,0.082,0.077,0.061,0.05,0.039,0.038,0.043,0.043,0.231,0.185,0.138,0.114,0.089,0.077,0.063,0.049,0.039,0.035,0.042,0.042,0.234,0.188,0.139,0.115,0.09,0.078,0.063,0.05,0.039,0.036,0.043,0.042,0.407,0.356,0.305,0.273,0.207,0.179,0.13,0.086,0.046,0.036,0.042,0.042,0.384,0.345,0.288,0.254,0.197,0.164,0.123,0.083,0.045,0.036,0.042,0.043,0.383,0.331,0.277,0.241,0.195,0.167,0.126,0.085,0.054,0.036,0.042,0.043
65,36.9,0.228,0.185,0.14,0.116,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.231,0.185,0.138,0.114,0.089,0.077,0.063,0.049,0.039,0.035,0.042,0.042,0.234,0.188,0.139,0.115,0.09,0.077,0.063,0.05,0.038,0.035,0.043,0.042,0.432,0.38,0.333,0.29,0.232,0.193,0.143,0.092,0.047,0.036,0.041,0.042,0.407,0.366,0.31,0.27,0.212,0.181,0.134,0.088,0.046,0.035,0.042,0.043,0.406,0.354,0.299,0.26,0.21,0.178,0.134,0.089,0.055,0.036,0.042,0.043
85,36.9,0.228,0.185,0.14,0.116,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.231,0.185,0.138,0.114,0.089,0.077,0.063,0.049,0.038,0.035,0.042,0.042,0.235,0.188,0.139,0.115,0.09,0.078,0.063,0.05,0.039,0.035,0.043,0.042,0.465,0.408,0.358,0.317,0.254,0.208,0.156,0.097,0.048,0.036,0.041,0.042,0.442,0.395,0.329,0.289,0.23,0.194,0.145,0.093,0.048,0.035,0.042,0.043,0.438,0.382,0.327,0.286,0.23,0.191,0.143,0.094,0.056,0.036,0.042,0.043
105,37.0,0.228,0.185,0.14,0.116,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.231,0.185,0.138,0.114,0.089,0.077,0.063,0.049,0.039,0.035,0.042,0.042,0.235,0.188,0.139,0.115,0.09,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.492,0.431,0.377,0.337,0.267,0.221,0.166,0.103,0.049,0.036,0.041,0.042,0.467,0.414,0.354,0.308,0.246,0.206,0.155,0.098,0.049,0.035,0.042,0.043,0.464,0.404,0.35,0.306,0.247,0.203,0.152,0.099,0.058,0.036,0.042,0.043
125,37.0,0.229,0.186,0.14,0.117,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.232,0.186,0.139,0.114,0.089,0.077,0.063,0.049,0.039,0.035,0.042,0.042,0.235,0.188,0.139,0.115,0.09,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.517,0.452,0.398,0.356,0.282,0.234,0.174,0.108,0.05,0.036,0.041,0.042,0.496,0.433,0.377,0.329,0.259,0.217,0.163,0.103,0.05,0.035,0.042,0.043,0.488,0.429,0.374,0.325,0.264,0.218,0.163,0.105,0.059,0.036,0.042,0.043
145,37.0,0.229,0.186,0.141,0.117,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.232,0.186,0.139,0.114,0.089,0.077,0.063,0.049,0.039,0.035,0.042,0.042,0.236,0.189,0.139,0.116,0.09,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.543,0.474,0.419,0.374,0.296,0.246,0.181,0.112,0.051,0.036,0.041,0.042,0.521,0.452,0.398,0.349,0.272,0.228,0.169,0.107,0.052,0.035,0.042,0.043,0.513,0.452,0.397,0.343,0.279,0.232,0.173,0.111,0.061,0.036,0.042,0.043
165,37.0,0.229,0.186,0.141,0.117,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.232,0.186,0.139,0.114,0.089,0.077,0.063,0.049,0.039,0.035,0.042,0.042,0.236,0.189,0.14,0.116,0.09,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.568,0.497,0.44,0.392,0.308,0.257,0.189,0.116,0.051,0.036,0.041,0.042,0.548,0.472,0.419,0.366,0.284,0.239,0.176,0.111,0.053,0.035,0.042,0.043,0.538,0.471,0.421,0.36,0.29,0.246,0.183,0.116,0.062,0.036,0.042,0.043
185,37.0,0.23,0.186,0.141,0.117,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.042,0.232,0.186,0.139,0.114,0.089,0.077,0.063,0.049,0.038,0.035,0.042,0.041,0.236,0.189,0.14,0.116,0.09,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.594,0.52,0.457,0.412,0.32,0.268,0.198,0.12,0.052,0.036,0.041,0.042,0.572,0.491,0.438,0.382,0.298,0.252,0.184,0.116,0.055,0.035,0.042,0.043,0.561,0.489,0.443,0.376,0.303,0.258,0.19,0.122,0.064,0.036,0.042,0.043
205,37.0,0.23,0.187,0.141,0.117,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.233,0.186,0.139,0.114,0.089,0.077,0.063,0.049,0.038,0.035,0.042,0.042,0.236,0.189,0.14,0.116,0.091,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.617,0.543,0.475,0.432,0.33,0.279,0.209,0.125,0.053,0.036,0.041,0.042,0.596,0.511,0.457,0.398,0.313,0.266,0.193,0.12,0.056,0.035,0.042,0.043,0.587,0.505,0.461,0.394,0.32,0.272,0.198,0.126,0.065,0.036,0.042,0.043
225,37.0,0.23,0.187,0.141,0.117,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.233,0.186,0.139,0.115,0.089,0.078,0.063,0.049,0.039,0.036,0.042,0.042,0.237,0.19,0.14,0.116,0.091,0.078,0.063,0.05,0.039,0.035,0.043,0.042,0.643,0.568,0.495,0.452,0.34,0.293,0.219,0.13,0.055,0.036,0.041,0.042,0.619,0.532,0.479,0.416,0.33,0.28,0.204,0.125,0.057,0.035,0.042,0.043,0.611,0.523,0.477,0.416,0.339,0.288,0.208,0.131,0.067,0.036,0.042,0.043
245,37.0,0.231,0.187,0.141,0.118,0.082,0.077,0.061,0.05,0.039,0.038,0.042,0.043,0.233,0.187,0.139,0.115,0.089,0.078,0.063,0.049,0.039,0.035,0.042,0.041,0.237,0.19,0.14,0.116,0.091,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.668,0.595,0.514,0.472,0.35,0.307,0.229,0.135,0.056,0.036,0.042,0.042,0.642,0.557,0.503,0.435,0.347,0.294,0.214,0.13,0.058,0.035,0.042,0.043,0.637,0.546,0.494,0.438,0.357,0.303,0.22,0.135,0.068,0.036,0.042,0.043
265,37.0,0.231,0.187,0.142,0.118,0.082,0.078,0.062,0.05,0.039,0.038,0.042,0.043,0.234,0.187,0.14,0.115,0.089,0.078,0.063,0.05,0.039,0.035,0.042,0.042,0.237,0.19,0.14,0.116,0.091,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.694,0.621,0.535,0.493,0.361,0.323,0.24,0.141,0.057,0.036,0.042,0.042,0.663,0.584,0.526,0.454,0.364,0.308,0.224,0.135,0.059,0.035,0.042,0.043,0.661,0.57,0.517,0.459,0.373,0.316,0.231,0.14,0.07,0.036,0.042,0.043
285,37.0,0.231,0.188,0.142,0.118,0.082,0.078,0.062,0.05,0.039,0.038,0.042,0.043,0.234,0.187,0.14,0.115,0.089,0.078,0.063,0.049,0.039,0.036,0.042,0.041,0.238,0.19,0.141,0.116,0.091,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.718,0.645,0.556,0.514,0.374,0.339,0.25,0.146,0.058,0.036,0.041,0.042,0.684,0.609,0.549,0.473,0.38,0.322,0.234,0.14,0.061,0.035,0.042,0.043,0.687,0.593,0.54,0.479,0.387,0.329,0.242,0.145,0.071,0.036,0.042,0.043
305,37.0,0.232,0.188,0.142,0.118,0.082,0.078,0.062,0.05,0.039,0.038,0.042,0.043,0.234,0.187,0.14,0.115,0.09,0.078,0.063,0.05,0.039,0.036,0.042,0.041,0.238,0.19,0.141,0.117,0.091,0.078,0.063,0.05,0.039,0.035,0.043,0.042,0.742,0.668,0.577,0.536,0.388,0.355,0.26,0.152,0.06,0.036,0.042,0.042,0.706,0.633,0.571,0.492,0.396,0.335,0.244,0.146,0.062,0.035,0.042,0.043,0.712,0.615,0.561,0.497,0.402,0.343,0.252,0.15,0.073,0.036,0.042,0.043
325,37.0,0.232,0.188,0.142,0.118,0.083,0.078,0.062,0.05,0.039,0.038,0.042,0.043,0.235,0.187,0.14,0.115,0.09,0.078,0.063,0.05,0.039,0.036,0.042,0.041,0.238,0.191,0.141,0.117,0.091,0.078,0.063,0.05,0.038,0.035,0.043,0.042,0.765,0.691,0.599,0.558,0.405,0.37,0.27,0.158,0.061,0.036,0.042,0.042,0.727,0.657,0.594,0.512,0.412,0.349,0.254,0.151,0.063,0.035,0.042,0.043,0.737,0.636,0.582,0.516,0.417,0.357,0.262,0.155,0.074,0.036,0.042,0.043
