45,36.9,0.244,0.187,0.14,0.115,0.089,0.076,0.062,0.049,0.037,0.034,0.041,0.041,0.232,0.186,0.138,0.114,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.237,0.188,0.14,0.115,0.09,0.076,0.062,0.048,0.037,0.035,0.041,0.041,0.71,0.68,0.659,0.611,0.574,0.512,0.427,0.273,0.111,0.035,0.04,0.04,0.627,0.606,0.57,0.556,0.501,0.482,0.411,0.276,0.084,0.034,0.041,0.041,0.596,0.556,0.527,0.505,0.464,0.387,0.344,0.248,0.081,0.034,0.041,0.041
65,36.9,0.244,0.187,0.14,0.115,0.089,0.075,0.062,0.049,0.037,0.034,0.041,0.041,0.232,0.186,0.138,0.113,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.237,0.188,0.14,0.114,0.09,0.076,0.062,0.048,0.037,0.035,0.04,0.04,0.75,0.729,0.708,0.658,0.62,0.552,0.461,0.291,0.12,0.034,0.04,0.039,0.671,0.654,0.617,0.601,0.541,0.527,0.453,0.302,0.093,0.033,0.04,0.041,0.636,0.601,0.575,0.549,0.504,0.425,0.379,0.272,0.089,0.034,0.04,0.04
85,37,0.244,0.187,0.14,0.115,0.089,0.075,0.062,0.048,0.037,0.034,0.041,0.041,0.232,0.186,0.138,0.113,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.237,0.188,0.14,0.114,0.09,0.076,0.062,0.048,0.037,0.035,0.04,0.04,0.794,0.779,0.756,0.703,0.662,0.592,0.497,0.312,0.128,0.034,0.04,0.039,0.716,0.699,0.663,0.646,0.585,0.572,0.491,0.324,0.102,0.033,0.04,0.04,0.681,0.644,0.624,0.606,0.544,0.464,0.414,0.297,0.098,0.034,0.04,0.04
105,37,0.245,0.187,0.14,0.115,0.089,0.076,0.062,0.048,0.037,0.034,0.041,0.041,0.232,0.186,0.138,0.114,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.237,0.188,0.14,0.115,0.09,0.076,0.062,0.048,0.037,0.035,0.04,0.04,0.841,0.829,0.803,0.751,0.705,0.633,0.533,0.332,0.138,0.034,0.04,0.039,0.762,0.75,0.712,0.692,0.632,0.614,0.529,0.349,0.112,0.033,0.04,0.041,0.727,0.691,0.673,0.653,0.594,0.503,0.448,0.323,0.11,0.034,0.04,0.04
125,37,0.245,0.187,0.14,0.115,0.089,0.076,0.062,0.049,0.037,0.034,0.041,0.041,0.232,0.186,0.138,0.114,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.238,0.189,0.14,0.115,0.09,0.076,0.062,0.048,0.037,0.035,0.04,0.04,0.886,0.879,0.85,0.801,0.753,0.675,0.57,0.354,0.147,0.034,0.04,0.039,0.807,0.796,0.762,0.74,0.677,0.658,0.567,0.375,0.12,0.033,0.04,0.041,0.772,0.737,0.722,0.709,0.638,0.543,0.484,0.348,0.119,0.034,0.04,0.04
145,37,0.245,0.188,0.14,0.115,0.089,0.076,0.062,0.049,0.037,0.034,0.041,0.041,0.232,0.187,0.138,0.114,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.238,0.189,0.14,0.115,0.09,0.076,0.062,0.048,0.037,0.035,0.04,0.04,0.933,0.927,0.899,0.848,0.797,0.717,0.605,0.376,0.157,0.035,0.04,0.039,0.852,0.843,0.809,0.788,0.722,0.705,0.607,0.401,0.129,0.033,0.04,0.041,0.817,0.783,0.771,0.756,0.682,0.582,0.52,0.375,0.129,0.034,0.04,0.04
165,37,0.246,0.188,0.14,0.115,0.089,0.076,0.062,0.049,0.037,0.034,0.041,0.041,0.233,0.187,0.139,0.114,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.238,0.189,0.14,0.115,0.09,0.076,0.062,0.048,0.037,0.035,0.041,0.04,0.98,0.977,0.951,0.901,0.845,0.759,0.641,0.396,0.166,0.035,0.04,0.039,0.899,0.891,0.858,0.835,0.769,0.749,0.649,0.431,0.138,0.033,0.041,0.041,0.861,0.831,0.819,0.803,0.721,0.621,0.555,0.4,0.138,0.034,0.04,0.04
185,37,0.246,0.188,0.14,0.115,0.089,0.076,0.062,0.049,0.037,0.034,0.041,0.041,0.233,0.187,0.139,0.114,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.238,0.189,0.141,0.115,0.09,0.076,0.062,0.048,0.037,0.035,0.04,0.04,1.026,1.028,0.999,0.954,0.89,0.801,0.678,0.417,0.175,0.035,0.04,0.039,0.944,0.937,0.906,0.881,0.816,0.792,0.687,0.458,0.147,0.033,0.041,0.041,0.906,0.877,0.868,0.85,0.764,0.658,0.589,0.425,0.147,0.034,0.04,0.04
205,37,0.246,0.188,0.141,0.115,0.089,0.076,0.062,0.049,0.037,0.034,0.041,0.041,0.233,0.187,0.139,0.114,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.238,0.189,0.141,0.115,0.09,0.076,0.062,0.048,0.037,0.035,0.04,0.04,1.074,1.078,1.051,1.008,0.934,0.843,0.714,0.436,0.185,0.035,0.04,0.039,0.99,0.981,0.955,0.926,0.865,0.836,0.725,0.482,0.156,0.033,0.041,0.041,0.952,0.924,0.917,0.899,0.814,0.694,0.623,0.449,0.156,0.034,0.04,0.04
225,37,0.247,0.188,0.141,0.116,0.089,0.076,0.062,0.049,0.037,0.034,0.041,0.041,0.233,0.187,0.139,0.114,0.088,0.075,0.061,0.048,0.037,0.034,0.04,0.04,0.239,0.19,0.141,0.115,0.091,0.076,0.062,0.048,0.037,0.035,0.04,0.04,1.121,1.13,1.103,1.062,0.979,0.885,0.75,0.459,0.195,0.035,0.04,0.04,1.035,1.027,1.005,0.973,0.914,0.881,0.764,0.506,0.165,0.033,0.041,0.041,0.997,0.97,0.965,0.949,0.864,0.729,0.656,0.474,0.165,0.034,0.04,0.04
