45,36.9,0.231,0.185,0.138,0.113,0.09,0.075,0.062,0.049,0.037,0.034,0.043,0.042,0.228,0.182,0.135,0.111,0.086,0.074,0.061,0.048,0.04,0.034,0.041,0.04,0.231,0.181,0.137,0.112,0.087,0.074,0.061,0.048,0.037,0.034,0.041,0.041,0.6,0.584,0.519,0.485,0.427,0.387,0.304,0.208,0.072,0.034,0.04,0.04,0.564,0.524,0.482,0.444,0.394,0.356,0.296,0.209,0.069,0.034,0.041,0.041,0.488,0.445,0.397,0.361,0.317,0.29,0.247,0.176,0.062,0.035,0.041,0.041
65,37,0.231,0.186,0.138,0.113,0.09,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.229,0.182,0.136,0.111,0.086,0.074,0.061,0.048,0.04,0.034,0.041,0.04,0.229,0.181,0.137,0.112,0.087,0.074,0.061,0.048,0.037,0.034,0.041,0.041,0.652,0.622,0.557,0.525,0.468,0.434,0.331,0.22,0.077,0.034,0.04,0.04,0.605,0.569,0.517,0.476,0.426,0.386,0.326,0.225,0.074,0.034,0.041,0.041,0.524,0.488,0.436,0.398,0.35,0.319,0.272,0.194,0.066,0.034,0.041,0.041
85,37,0.232,0.186,0.138,0.113,0.09,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.229,0.182,0.136,0.111,0.086,0.074,0.061,0.048,0.04,0.034,0.041,0.04,0.229,0.181,0.137,0.112,0.088,0.075,0.061,0.048,0.037,0.034,0.041,0.041,0.719,0.662,0.589,0.58,0.516,0.47,0.359,0.232,0.082,0.034,0.04,0.04,0.647,0.607,0.554,0.51,0.457,0.417,0.363,0.242,0.078,0.034,0.041,0.041,0.562,0.528,0.474,0.433,0.386,0.35,0.298,0.212,0.071,0.034,0.041,0.041
105,37,0.243,0.186,0.138,0.113,0.09,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.23,0.182,0.136,0.111,0.087,0.074,0.061,0.048,0.04,0.034,0.041,0.04,0.23,0.182,0.137,0.112,0.088,0.075,0.061,0.048,0.037,0.034,0.041,0.041,0.769,0.708,0.623,0.624,0.562,0.503,0.39,0.251,0.088,0.034,0.04,0.04,0.685,0.658,0.591,0.545,0.489,0.448,0.387,0.26,0.084,0.034,0.041,0.041,0.601,0.574,0.513,0.471,0.42,0.381,0.324,0.231,0.077,0.034,0.041,0.041
125,37,0.234,0.186,0.138,0.113,0.09,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.23,0.183,0.136,0.112,0.087,0.074,0.061,0.048,0.04,0.034,0.041,0.04,0.23,0.182,0.138,0.112,0.088,0.075,0.061,0.048,0.037,0.034,0.041,0.041,0.802,0.747,0.659,0.666,0.598,0.533,0.428,0.267,0.092,0.034,0.04,0.04,0.723,0.696,0.627,0.578,0.52,0.478,0.411,0.278,0.089,0.034,0.041,0.041,0.639,0.614,0.553,0.509,0.455,0.412,0.35,0.25,0.082,0.034,0.041,0.041
145,37,0.233,0.186,0.139,0.113,0.09,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.231,0.183,0.136,0.112,0.087,0.074,0.061,0.048,0.04,0.034,0.041,0.04,0.23,0.182,0.138,0.113,0.088,0.075,0.061,0.048,0.037,0.034,0.041,0.041,0.85,0.791,0.696,0.709,0.626,0.565,0.476,0.283,0.097,0.034,0.04,0.04,0.761,0.739,0.665,0.613,0.551,0.51,0.441,0.297,0.094,0.034,0.041,0.041,0.679,0.654,0.593,0.546,0.488,0.442,0.376,0.269,0.088,0.034,0.041,0.041
165,37,0.233,0.187,0.139,0.114,0.09,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.231,0.183,0.137,0.112,0.087,0.074,0.062,0.048,0.04,0.034,0.041,0.04,0.231,0.182,0.138,0.113,0.088,0.075,0.061,0.048,0.037,0.034,0.041,0.041,0.887,0.833,0.734,0.74,0.67,0.597,0.521,0.298,0.102,0.034,0.04,0.04,0.798,0.774,0.701,0.647,0.586,0.543,0.466,0.314,0.1,0.034,0.041,0.041,0.717,0.694,0.63,0.584,0.522,0.474,0.403,0.286,0.093,0.034,0.041,0.041
185,37,0.234,0.187,0.139,0.114,0.091,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.231,0.184,0.137,0.112,0.087,0.075,0.062,0.048,0.04,0.034,0.041,0.04,0.232,0.183,0.138,0.113,0.088,0.075,0.061,0.049,0.037,0.034,0.041,0.041,0.923,0.876,0.773,0.762,0.72,0.626,0.552,0.319,0.107,0.034,0.04,0.04,0.835,0.812,0.74,0.682,0.622,0.573,0.49,0.332,0.106,0.034,0.041,0.041,0.757,0.734,0.668,0.619,0.555,0.506,0.429,0.305,0.099,0.034,0.041,0.041
205,37,0.234,0.187,0.139,0.114,0.091,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.232,0.184,0.137,0.112,0.087,0.075,0.062,0.048,0.04,0.034,0.041,0.04,0.232,0.183,0.139,0.113,0.088,0.075,0.061,0.049,0.037,0.034,0.041,0.041,0.961,0.917,0.813,0.797,0.758,0.663,0.573,0.337,0.112,0.034,0.04,0.04,0.872,0.849,0.78,0.719,0.659,0.604,0.518,0.35,0.112,0.034,0.041,0.041,0.795,0.775,0.706,0.654,0.588,0.538,0.456,0.324,0.104,0.034,0.041,0.041
225,37,0.235,0.188,0.139,0.114,0.091,0.075,0.062,0.049,0.037,0.034,0.043,0.041,0.232,0.185,0.137,0.113,0.087,0.075,0.062,0.048,0.04,0.034,0.041,0.04,0.232,0.184,0.139,0.113,0.088,0.075,0.062,0.049,0.037,0.034,0.041,0.041,0.997,0.959,0.854,0.842,0.795,0.704,0.597,0.358,0.117,0.034,0.04,0.04,0.909,0.887,0.818,0.754,0.689,0.636,0.545,0.369,0.117,0.034,0.041,0.041,0.833,0.814,0.746,0.69,0.621,0.57,0.482,0.343,0.11,0.034,0.041,0.041
